SR,Product Name,Price
0,Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999"
1,SENS 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio & Google Assistant,"₹8,999"
2,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV,"₹13,990"
3,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model,"₹13,490"
4,realme 80 cm (32 inch) HD Ready LED Smart Android TV,"₹11,999"
5,Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design,"₹7,999"
6,realme 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 - 2022 Model,"₹20,999"
7,Mi 5A 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹24,999"
8,OnePlus Y1 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio,"₹14,999"
9,Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV with Wall Mount,"₹8,999"
10,realme 100.3 cm (40 inch) Full HD LED Smart Android TV with Android 11 - 2022 Model,"₹19,999"
11,"SENS Pikaso 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with FluroSENS Panel, Dolby Audio and ...","₹23,999"
12,Vu 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV,"₹20,999"
13,OnePlus Y1 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio,"₹19,999"
14,iFFALCON by TCL F53 79.97 cm (32 inch) HD Ready LED Smart Android TV with Android 11,"₹9,999"
15,Mi Q1 138.8 cm (55 inch) QLED Ultra HD (4K) Smart Android TV Dolby Vision & 30W Dolby Audio,"₹59,999"
16,OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹24,999"
17,SAMSUNG Crystal 4K Neo Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹31,499"
18,realme 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Handsfree Voice Search and Dolby Visio...,"₹28,999"
19,SENS 109 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio & Google Assistant,"₹16,999"
20,SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV,"₹13,490"
21,realme NEO 80 cm (32 inch) HD Ready LED Smart Linux TV,"₹10,999"
22,iFFALCON by TCL F53 100 cm (40 inch) Full HD LED Smart Android TV with Android 11,"₹15,999"
23,"SENS Dwinci 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV LumiSENS Panel, Dolby Vision and Dolby...","₹33,999"
